NU_ANO_CENSO,CO_MUNICIPIO,NO_MUNICIPIO,CO_ENTIDADE,NO_ENTIDADE,NO_DEPENDENCIA,1_CAT_FUN_AF,2_CAT_FUN_AF,3_CAT_FUN_AF,1_CAT_FUN_07,2_CAT_FUN_07,3_CAT_FUN_07
2024,3513504.0,Cubatão,35010151.0,MARTA JOSETE RAMOS IMPALEA PROFA CEU UNIDADE III,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35055797.0,ESTADO DO CEARA UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35055852.0,BERNARDO JOSE MARIA LORENA UNIDADE MUNICIPAL DE ENSINO,Municipal,95.1,4.9,0,94.9,5.1,0
2024,3513504.0,Cubatão,35055864.0,MANOEL DA NOBREGA PADRE UNIDADE MUNICIPAL DE ENSINO,Municipal,95.4,1.6,3,94.5,1.8,3.7
2024,3513504.0,Cubatão,35055876.0,JOAO RAMALHO UNIDADE MUNICIPAL DE ENSINO,Municipal,94.7,5.3,0,93.2,6.8,0
2024,3513504.0,Cubatão,35055888.0,JOSE DE ANCHIETA PADRE UNIDADE MUNICIPAL DE ENSINO,Municipal,93.6,6.4,0,91,9,0
2024,3513504.0,Cubatão,35067787.0,ESTADO DO AMAPA UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35067799.0,RUI BARBOSA UNIDADE MUNICIPAL DE ENSINO,Municipal,94.8,5.2,0,96.4,3.6,0
2024,3513504.0,Cubatão,35092101.0,DOM PEDRO I UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35092137.0,ESTADO DE ALAGOAS UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35096436.0,ANTONIO ORTEGA DOMINGUES UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35121885.0,ESTADO DO ESPIRITO SANTO UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35133644.0,ANTONIO OLIVIERI FILHO PADRE UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35193902.0,LUIZ PIERUZZI NETTO PROF DR UNIDADE MUNICIPAL DE ENSINO,Municipal,88.5,11.5,0,83.1,16.9,0
2024,3513504.0,Cubatão,35198997.0,MARIO DE OLIVEIRA MOREIRA UNIDADE MUNICIPAL DE ENSINO,Municipal,95.2,4.8,0,92.3,7.7,0
2024,3513504.0,Cubatão,35199000.0,LUIZ GUSTAVO DE LIMA UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35209545.0,ELZA SILVA DOS SANTOS UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35243279.0,ULYSSES GUIMARAES UNIDADE MUNICIPAL DE ENSINO,Municipal,87.8,10.6,1.6,85.1,13.2,1.7
2024,3513504.0,Cubatão,35273922.0,USINA HENRY BORDEN UNIDADE MUNICIPAL DE ENSINO,Municipal,100,0,0,100,0,0
2024,3513504.0,Cubatão,35368945.0,MARIA ALBERTINA PINHEIRO SILVA MESQUITA NENE NEM,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35456385.0,JAYME JOAO OLCESE UNIDADE MUNICIPAL DE ENSINO,Municipal,--,--,--,--,--,--
2024,3513504.0,Cubatão,35466414.0,MARIA DO ROSARIO LOPES FRANCO PROFESSORA UME,Municipal,--,--,--,--,--,--
